,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
372,Yar-Sale,32,RU,1567638233,93,66.83,70.83,46.26,6.96
373,San Pedro,0,AR,1567638233,53,-33.68,-59.66,45.0,1.01
374,Napier,95,NZ,1567638142,83,-39.49,176.92,61.0,4.0
375,Batemans Bay,74,AU,1567638234,77,-35.71,150.18,59.0,1.95
376,Nishihara,75,JP,1567638234,83,35.74,139.53,79.0,8.05
377,Bosaso,0,SO,1567638234,60,11.28,49.18,90.36,6.8
378,Vila Velha,20,BR,1567638234,74,-3.71,-38.6,78.8,10.29
379,Kalavad,100,IN,1567638235,10,22.21,70.38,81.0,11.61
380,Kaitangata,100,NZ,1567638235,71,-46.28,169.85,51.01,10.0
381,Sao Joao da Barra,66,BR,1567638235,84,-21.64,-41.05,72.36,8.75
382,The Valley,20,AI,1567637980,62,18.22,-63.06,86.0,11.41
383,Yeppoon,0,AU,1567638235,40,-23.13,150.74,69.8,8.05
384,Sobolevo,0,RU,1567638235,90,54.43,31.9,49.68,3.69
385,Nalvo,94,PH,1567638236,82,16.81,120.51,78.66,6.13
386,Kargasok,31,RU,1567638236,95,59.06,80.87,42.3,2.46
387,Onega,68,RU,1567638236,90,63.91,38.09,52.38,6.96
388,Camara de Lobos,40,PT,1567638236,73,32.63,-16.97,71.6,8.05
389,Lowestoft,15,GB,1567638236,76,52.48,1.75,59.0,18.34
390,Faya,0,SA,1567638237,46,18.39,42.45,71.6,4.76
391,Savonlinna,20,FI,1567638237,87,61.87,28.88,57.2,4.7
392,Chapais,90,CA,1567638237,81,49.78,-74.86,51.8,5.82
393,Ancona,1,US,1567638237,72,41.04,-88.87,72.0,4.72
394,Vao,78,EE,1567638238,97,59.1,26.19,50.58,6.38
395,Dolores,0,UY,1567638238,57,-33.53,-58.22,45.18,10.27
396,Canutama,48,BR,1567638238,55,-6.53,-64.38,83.52,1.74
397,Punta Alta,0,AR,1567638238,42,-27.46,-55.82,64.4,8.05
398,Bandarbeyla,1,SO,1567638238,72,9.49,50.81,76.32,28.81
399,Yerbogachen,74,RU,1567638239,92,61.28,108.01,46.8,8.5
400,Kulhudhuffushi,35,MV,1567638239,79,6.62,73.07,81.72,8.79
401,Kurchum,98,KZ,1567638239,48,48.57,83.65,56.16,10.56
402,Jacareacanga,73,BR,1567638239,62,-6.22,-57.76,79.2,2.46
403,Kununurra,0,AU,1567638239,88,-15.77,128.74,68.0,3.36
404,Basco,40,US,1567638240,53,40.33,-91.2,75.2,4.25
405,Pangkalanbuun,94,ID,1567638240,85,-2.68,111.62,73.62,2.04
406,Bure,61,NG,1567638240,88,10.52,10.33,73.08,3.83
407,Havelock,90,US,1567638172,88,34.88,-76.9,82.4,4.7
408,Xihe,92,CN,1567638240,93,34.02,105.29,58.5,3.71
409,Portobelo,75,PA,1567638241,88,9.55,-79.65,78.8,4.7
410,Tortosa,0,ES,1567638241,100,40.81,0.52,73.0,2.24
411,Crotone,86,IT,1567638241,80,39.09,17.12,71.46,13.49
412,Amasya,0,TR,1567638241,67,40.65,35.83,57.2,8.05
413,Jingdezhen,27,CN,1567638241,81,29.29,117.2,76.68,2.75
414,Meulaboh,96,ID,1567638242,86,4.14,96.13,80.46,9.57
415,Borba,78,BR,1567638242,53,-4.39,-59.59,83.88,1.43
416,Henties Bay,0,NA,1567638242,89,-22.12,14.28,55.99,1.99
417,Araouane,0,ML,1567638242,25,18.9,-3.53,95.58,9.37
418,Encsencs,0,HU,1567638242,87,47.74,22.11,60.8,4.7
419,Concepcion,47,CO,1567638243,90,9.56,-73.66,79.38,4.21
420,Phalaborwa,0,ZA,1567638243,34,-23.95,31.14,63.36,4.88
421,Madang,41,CN,1567638243,79,35.32,102.79,46.26,1.19
422,Kedrovyy,0,RU,1567638243,100,56.17,91.82,37.4,4.03
423,Laibin,2,CN,1567638243,78,23.74,109.23,76.86,10.2
424,Kaseda,75,JP,1567638244,88,31.42,130.32,75.2,3.36
425,Sandy Bay,75,AU,1567638244,70,-42.9,147.33,54.0,9.17
426,Mitsamiouli,20,KM,1567638244,83,-11.38,43.28,71.6,4.7
427,Biak,79,ID,1567638244,77,-0.91,122.88,66.96,3.18
428,Luau,34,CD,1567638244,32,-10.7,22.23,70.56,3.6
429,Guerrero Negro,0,MX,1567638245,80,27.97,-114.04,74.34,9.22
430,Karratha,0,AU,1567638245,32,-20.74,116.85,70.74,10.67
431,Miraflores,75,PE,1567638245,22,-16.39,-71.52,64.4,10.29
432,Sankeshwar,100,IN,1567638245,97,16.27,74.48,70.02,13.47
433,Tazovskiy,97,RU,1567638245,96,67.47,78.7,45.54,6.38
434,Jinchang,52,CN,1567638246,40,38.52,102.19,65.88,1.16
435,Petropavlovskoye,20,RU,1567638246,100,46.79,142.5,57.2,2.24
436,Vanavara,0,RU,1567638246,85,60.35,102.28,46.44,2.8
437,Manama,0,AE,1567638246,48,25.33,56.02,93.2,4.7
438,Trento,0,IT,1567638247,89,46.07,11.13,69.01,1.99
439,Banda Aceh,91,ID,1567638247,82,5.56,95.32,82.26,17.31
440,Podor,0,MR,1567638247,66,16.65,-14.96,89.6,2.24
441,Lithakia,0,GR,1567638247,77,37.72,20.83,78.01,11.65
442,Durban,100,CA,1567638247,90,51.93,-101.44,58.86,11.56
443,Nantucket,90,US,1567638145,88,41.28,-70.1,73.99,23.04
444,Boda,100,CF,1567638248,96,4.32,17.47,69.48,2.13
445,Griffith,24,AU,1567638248,62,-34.29,146.06,55.4,6.87
446,Susangerd,0,IR,1567638248,22,31.56,48.19,89.6,6.93
447,Jiazi,40,CN,1567638248,94,19.61,110.49,78.8,6.71
448,Honiara,40,SB,1567638248,79,-9.43,159.96,84.2,4.7
449,Pilar,0,AR,1567638249,37,-34.46,-58.91,51.8,5.82
450,Tigzirt,0,DZ,1567638249,92,36.57,4.2,61.74,1.81
451,Oppdal,100,NO,1567638249,94,62.6,9.69,43.56,3.85
452,Paraiso,0,BR,1567638250,74,-0.03,-51.17,84.2,17.22
453,Isiro,83,CD,1567638250,98,2.77,27.62,65.7,0.4
454,Wanning,0,AT,1567638234,82,48.64,13.53,59.0,3.36
455,Artyom,40,RU,1567638250,100,43.36,132.19,66.2,4.47
456,San Jeronimo,30,PE,1567638250,90,-13.65,-73.37,47.16,5.08
457,Galiakot,100,IN,1567638251,96,23.54,74.01,77.4,3.96
458,Samarinda,96,ID,1567638251,81,-0.5,117.14,78.3,4.59
459,Amapa,75,HN,1567638251,59,15.09,-87.97,91.4,13.87
460,Huicungo,68,PE,1567638251,96,-7.28,-76.8,63.18,3.06
461,Shingu,75,JP,1567638251,83,33.72,135.99,80.6,6.93
462,Road Town,40,VG,1567638031,78,18.42,-64.62,84.2,6.93
463,Sisimiut,63,GL,1567638252,87,66.94,-53.67,41.04,4.07
464,Gamba,9,CN,1567638252,88,28.28,88.52,38.16,0.78
465,Siemiatycze,68,PL,1567638252,88,52.43,22.86,48.0,7.7
466,Clyde River,90,CA,1567638252,75,70.47,-68.59,42.8,9.17
467,Mataram,4,ID,1567638253,90,-5.32,105.06,70.38,0.96
468,Puerto Quijarro,56,BO,1567638253,66,-19.0,-57.72,86.0,7.27
469,Valreas,0,FR,1567638253,38,44.38,4.99,75.2,11.41
470,Ribeira Brava,40,PT,1567638253,73,32.65,-17.07,71.6,8.05
471,Kahului,40,US,1567638253,55,20.89,-156.47,89.6,20.8
472,Brae,99,GB,1567638057,93,60.4,-1.35,48.2,19.46
473,Boyuibe,86,BO,1567638254,35,-20.43,-63.28,69.8,4.7
474,Lata,94,IN,1567638254,89,30.78,78.62,44.82,0.54
475,Hambantota,100,LK,1567638254,82,6.12,81.12,81.36,13.96
476,Bukama,24,CD,1567638254,38,-9.2,25.85,70.02,1.57
477,Mangrol,100,IN,1567638254,76,25.33,76.51,82.44,2.66
478,Saint-Jean-de-Maurienne,0,FR,1567638255,82,45.28,6.35,64.0,1.12
479,Teluknaga,75,ID,1567638255,83,-6.1,106.64,78.8,5.82
480,Garissa,0,KE,1567638255,77,-0.46,39.64,72.72,16.6
481,Katherine,17,AU,1567638255,64,-14.47,132.26,69.8,3.36
482,Emerald,0,AU,1567638255,16,-23.53,148.16,72.0,3.36
483,Ketchikan,40,US,1567638147,72,55.34,-131.65,64.4,14.99
484,Dalvik,90,SE,1567638256,93,57.79,14.13,55.99,10.29
485,Xai-Xai,0,MZ,1567638256,55,-25.04,33.64,62.46,4.27
486,Nome,40,US,1567638256,36,30.04,-94.42,96.8,9.17
487,Puerto Cabezas,40,NI,1567638256,79,14.04,-83.39,87.8,9.17
488,Naze,99,NG,1567638182,95,5.43,7.07,74.52,3.96
489,Lixourion,7,GR,1567638257,42,38.2,20.43,78.01,5.99
490,Port Lincoln,18,AU,1567638257,64,-34.72,135.86,55.44,24.45
491,Agucadoura,0,PT,1567638257,56,41.43,-8.78,72.0,10.29
492,Petropavlovsk-Kamchatskiy,20,RU,1567637975,93,53.05,158.65,55.4,2.24
493,Abu Kamal,0,SY,1567638257,29,34.45,40.92,77.4,11.25
494,Wolgast,71,DE,1567638106,74,54.05,13.77,62.01,10.56
495,Ojhar,100,IN,1567638258,94,20.09,73.93,71.1,19.26
496,San Jose,75,HN,1567638258,41,14.25,-87.96,91.4,13.87
497,Pointe-Noire,25,CG,1567638258,87,-4.8,11.85,72.36,8.57
498,Alto Araguaia,86,BR,1567638258,26,-17.32,-53.22,84.24,2.17
499,Vaitape,17,PF,1567638258,81,-16.52,-151.75,78.12,21.63
500,Abdulino,28,RU,1567638259,94,53.68,53.66,45.36,4.65
501,Quatre Cocos,75,MU,1567638259,100,-20.21,57.76,73.0,5.82
502,Sola,0,TZ,1567638259,45,-3.17,33.8,70.2,5.88
503,Imbituba,75,BR,1567638117,67,-28.24,-48.67,57.2,11.41
504,Susaki,75,JP,1567638259,88,33.42,133.28,79.0,5.82
505,Bilma,39,NE,1567638259,16,18.69,12.92,95.58,6.04
506,Tarbolton,20,GB,1567638260,76,55.51,-4.48,50.0,14.99
507,Kieta,88,PG,1567638260,74,-6.22,155.63,82.44,8.93
508,Havre-Saint-Pierre,90,CA,1567638260,93,50.23,-63.6,53.6,14.99
509,Tuatapere,89,NZ,1567638260,96,-46.13,167.69,50.0,4.0
510,Iskateley,47,RU,1567638261,95,67.68,53.15,55.26,5.37
511,Kamien Pomorski,0,PL,1567638261,63,53.97,14.77,66.0,2.24
512,Vieste,5,IT,1567638261,88,41.88,16.18,68.0,10.29
513,Deputatskiy,49,RU,1567638261,50,69.3,139.9,45.9,3.83
514,Okato,84,NZ,1567638262,91,-39.19,173.88,60.01,4.0
515,Olmos,0,PE,1567638262,72,-5.99,-79.75,66.06,13.6
516,Bulgan,98,MN,1567638262,95,48.81,103.53,52.92,3.71
517,Kailua,40,US,1567638262,46,21.39,-157.74,91.4,19.46
518,Seoul,75,KR,1567637970,112,37.57,126.98,73.4,2.24
519,Oranjestad,20,AW,1567638156,74,12.52,-70.03,86.0,23.04
520,Harper,40,US,1567638263,27,30.3,-99.24,95.0,6.93
521,Nytva,40,RU,1567638263,100,57.94,55.33,51.8,4.47
522,Kloulklubed,90,PW,1567638263,83,7.04,134.26,80.6,17.22
523,Camopi,53,GF,1567638263,68,3.17,-52.33,78.12,6.02
524,Yumen,0,CN,1567638264,30,40.29,97.04,70.92,9.28
525,Beringovskiy,100,RU,1567638264,84,63.05,179.32,46.44,2.17
526,Amurzet,4,CN,1567638264,84,47.69,131.09,70.56,3.91
527,Trat,100,TH,1567638264,93,12.25,102.51,81.0,4.18
528,Samarai,95,PG,1567638264,61,-10.62,150.67,75.42,8.79
529,Chaman,0,AF,1567638265,9,30.92,66.46,68.76,2.73
530,Fengxian,78,CN,1567638265,96,33.91,106.52,59.94,1.05
531,Verkhnyaya Salda,99,RU,1567638265,99,58.04,60.55,46.98,3.76
532,Zhigansk,81,RU,1567638265,59,66.77,123.37,44.28,6.17
533,Sioux Lookout,75,CA,1567638265,63,50.1,-91.92,62.6,10.29
534,Linden,20,GY,1567638266,88,6.01,-58.31,77.0,2.24
535,Rawson,69,AR,1567638266,71,-43.3,-65.11,35.82,6.82
536,Mahajanga,20,MG,1567638266,83,-15.72,46.32,71.6,4.7
537,Lagoa Vermelha,1,BR,1567638102,82,-28.21,-51.53,40.68,5.46
538,Thunder Bay,20,CA,1567638266,48,48.41,-89.26,66.99,10.29
539,Menongue,0,AO,1567638267,30,-14.66,17.68,59.4,2.33
540,Ambovombe,16,MG,1567638267,82,-25.18,46.09,72.54,18.95
541,Praya,20,ID,1567638128,88,-8.71,116.27,69.8,10.58
542,Bayanday,16,RU,1567638073,85,53.07,105.52,54.72,2.93
543,Saint-Georges,89,CA,1567638133,100,46.12,-70.67,61.0,8.99
544,Ikongo,39,MG,1567638267,97,-21.88,47.44,52.38,2.24
545,Zunyi,70,CN,1567638267,83,27.73,106.92,68.58,3.02
546,Minbu,62,MM,1567638268,94,20.18,94.88,74.16,2.26
547,Nizhniy Tsasuchey,83,RU,1567638089,82,50.52,115.13,60.48,7.92
548,Alakurtti,82,RU,1567638268,91,66.96,30.34,48.0,1.99
549,Seville,0,ES,1567638268,65,37.39,-6.0,78.8,6.93
550,Point Fortin,20,TT,1567638268,88,10.16,-61.68,78.8,3.36
551,Borzya,96,RU,1567638268,89,50.39,116.53,61.02,3.56
552,Klyuchi,71,RU,1567638269,74,52.25,79.17,48.24,6.08
553,Hauterive,90,CA,1567638269,100,49.18,-68.27,64.99,8.05
554,Zhezkazgan,95,KZ,1567638269,78,47.8,67.71,50.76,12.01
555,Llata,76,PE,1567638269,80,-9.55,-76.82,41.76,5.26
556,Ohangaron,0,UZ,1567638270,48,40.91,69.65,64.4,9.17
557,Casper,20,US,1567638219,14,42.87,-106.31,93.99,9.17
558,Beira,75,ES,1567638270,77,43.2,-8.36,66.0,12.75
559,Pitimbu,75,BR,1567637983,94,-7.47,-34.81,73.4,6.93
