,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
84,Kavieng,98,PG,1567638177,77,-2.57,150.8,82.44,14.56
85,Jalingo,38,NG,1567638177,92,10.3,10.93,74.52,5.41
86,Bethel,75,US,1567638178,76,60.79,-161.76,55.4,24.16
87,Ribeira Grande,90,PT,1567638178,81,38.52,-28.7,71.46,14.14
88,Eyl,22,SO,1567638178,71,7.98,49.82,75.96,29.51
89,Bubaque,100,GW,1567638178,87,11.28,-15.83,79.38,21.81
90,Ust-Nera,100,RU,1567638178,66,64.57,143.24,45.18,4.18
91,San Vicente,40,EC,1567638179,73,-0.59,-80.41,75.2,6.93
92,Arona,0,IT,1567638179,88,45.76,8.56,72.0,3.36
93,Kodiak,1,US,1567638179,64,39.95,-94.76,80.6,4.7
94,Alice Springs,0,AU,1567638179,11,-23.7,133.88,71.6,6.93
95,Dunedin,100,NZ,1567638125,72,-45.87,170.5,52.0,20.0
96,Iqaluit,90,CA,1567638180,75,63.75,-68.52,44.6,2.24
97,Hamilton,75,CA,1567637926,63,43.26,-79.87,68.0,9.17
98,Nanortalik,0,GL,1567638119,84,60.14,-45.24,41.22,4.79
99,New Norfolk,75,AU,1567638180,70,-42.78,147.06,54.0,9.17
100,Coquimbo,90,CL,1567638180,81,-29.95,-71.34,53.6,10.29
101,Ozernovskiy,98,RU,1567638180,96,51.5,156.52,48.78,10.42
102,Vestmannaeyjar,100,IS,1567638181,87,63.44,-20.27,50.94,13.47
103,Mar del Plata,0,AR,1567638181,52,-46.43,-67.52,34.2,9.89
104,Skelleftea,81,SE,1567638181,100,64.75,20.95,41.0,3.36
105,Bereznik,88,RU,1567638181,97,62.86,42.71,55.26,5.73
106,Saint-Philippe,90,CA,1567637968,72,45.36,-73.48,68.0,8.05
107,Atuona,31,PF,1567638182,72,-9.8,-139.03,79.2,11.03
108,Ginda,94,IN,1567638182,96,30.69,78.49,60.84,1.54
109,Geraldton,75,CA,1567638182,54,49.72,-86.95,59.0,8.05
110,Robe,10,ET,1567638182,78,7.12,40.01,48.6,4.38
111,Kentau,0,KZ,1567638183,43,43.52,68.5,53.64,4.32
112,Emba,40,CY,1567638183,78,34.81,32.42,77.0,5.82
113,Taltal,0,CL,1567638161,88,-25.41,-70.49,48.42,4.92
114,East London,100,ZA,1567638183,90,-33.02,27.91,55.44,5.35
115,Nago,0,IT,1567638183,82,45.88,10.89,69.01,5.82
116,Jalu,0,LY,1567638183,79,29.03,21.55,75.96,13.18
117,Bredasdorp,71,ZA,1567638092,87,-34.53,20.04,50.0,4.9
118,Immokalee,1,US,1567638184,59,26.42,-81.42,89.6,8.05
119,Hithadhoo,40,MV,1567637968,79,-0.6,73.08,82.98,15.95
120,Nhulunbuy,38,AU,1567638184,65,-12.18,136.78,77.0,12.75
121,Bonavista,100,CA,1567638184,76,48.65,-53.11,57.0,1.99
122,Asosa,66,ET,1567638185,87,10.07,34.53,66.06,1.72
123,Hilo,90,US,1567638185,74,19.71,-155.08,82.99,5.82
124,North Bend,1,US,1567637910,72,43.41,-124.22,81.0,25.28
125,Qaanaaq,16,GL,1567638185,52,77.48,-69.36,29.7,4.92
126,Dikson,100,RU,1567638185,99,73.51,80.55,43.38,17.13
127,Haines Junction,0,CA,1567638186,41,60.75,-137.51,56.34,6.93
128,Grand-Santi,78,GF,1567638186,65,4.27,-54.38,80.82,3.44
129,Te Anau,94,NZ,1567638186,86,-45.41,167.72,42.84,0.89
130,Nuqui,75,CO,1567638186,78,5.71,-77.27,82.4,4.7
131,Kudahuvadhoo,68,MV,1567638186,75,2.67,72.89,83.34,10.38
132,Longyearbyen,0,NO,1567638187,86,78.22,15.63,30.2,5.82
133,Janauba,30,BR,1567638187,84,-1.63,-45.47,75.78,4.74
134,Pedernales,83,EC,1567638187,88,0.07,-80.05,70.74,15.08
135,Krasnoyarsk,0,RU,1567638187,100,56.01,92.87,37.4,3.8
136,Broome,40,GB,1567638188,76,52.47,1.45,59.0,18.34
137,Waingapu,25,ID,1567638151,73,-9.65,120.26,74.16,10.13
138,Pudozh,61,RU,1567638188,99,61.81,36.54,48.24,3.2
139,Katsuura,75,JP,1567638188,88,33.93,134.5,78.01,8.05
140,Ust-Kut,78,RU,1567638188,94,56.78,105.75,49.5,2.57
141,Guthrie,1,US,1567638002,43,35.88,-97.43,93.99,5.82
142,Lagos,95,NG,1567637998,91,6.46,3.39,75.96,7.99
143,Caravelas,0,BR,1567638189,87,-17.73,-39.27,71.64,8.61
144,Praia,0,BR,1567638189,28,-20.25,-43.81,80.6,3.36
145,Xichang,98,CN,1567638189,93,27.88,102.25,57.6,0.76
146,San Patricio,75,PY,1567638189,65,-26.98,-56.83,53.28,9.95
147,Mookane,0,BW,1567638190,26,-23.68,26.66,61.92,7.0
148,Carnarvon,77,ZA,1567638190,57,-30.97,22.13,51.48,20.54
149,Yuanping,0,CN,1567638190,39,38.72,112.71,63.9,1.99
150,Ilulissat,40,GL,1567638190,81,69.22,-51.1,42.8,5.82
151,Bahia Blanca,78,AR,1567638013,67,-38.72,-62.27,37.8,6.82
152,Flin Flon,75,CA,1567637955,82,54.77,-101.88,55.4,3.36
153,Tierralta,100,CO,1567638191,94,8.17,-76.06,74.52,2.66
154,Saint-Pierre,0,FR,1567638191,81,48.95,4.24,60.8,9.17
155,Manbij,0,SY,1567638191,37,36.53,37.96,72.0,3.36
156,Angoche,23,MZ,1567638191,94,-16.23,39.91,66.42,3.67
157,Quime,71,BO,1567638191,87,-16.98,-67.22,40.14,8.28
158,Pogranichnyy,77,RU,1567638192,64,44.41,131.38,66.78,6.17
159,Quelimane,0,MZ,1567638192,68,-17.88,36.89,69.8,1.39
160,Kibala,0,TD,1567638192,88,9.11,18.35,75.2,2.89
161,Half Moon Bay,90,US,1567638192,93,37.46,-122.43,82.99,10.29
162,Floro,100,NO,1567638192,93,61.6,5.03,50.0,14.99
163,Wukari,100,NG,1567638193,96,7.87,9.78,73.08,5.93
164,Sungurlu,0,TR,1567638193,47,40.17,34.38,63.18,2.13
165,Port Moresby,75,PG,1567638193,57,-9.47,147.16,78.8,11.41
166,Lavrentiya,100,RU,1567638193,92,65.58,-170.99,46.26,15.28
167,Pacific Grove,40,US,1567638080,68,36.62,-121.92,95.0,9.17
168,Salalah,90,OM,1567638193,94,17.01,54.1,78.8,3.36
169,Guane,10,CU,1567638160,72,22.2,-84.09,84.96,7.49
170,Provideniya,90,RU,1567638142,81,64.42,-173.23,50.0,11.18
171,Wick,75,GB,1567638194,76,51.45,-2.43,57.99,10.29
172,Miles City,1,US,1567638132,11,46.41,-105.84,98.01,8.05
173,Strezhevoy,90,RU,1567638194,100,60.73,77.6,42.8,2.24
174,Luanda,22,AO,1567638027,88,-8.83,13.24,71.6,6.93
175,Barrow,84,AR,1567638195,86,-38.31,-60.23,34.02,2.26
176,Butaritari,96,KI,1567638195,69,3.07,172.79,83.88,2.33
177,Broken Hill,0,AU,1567638195,9,-31.97,141.45,69.8,12.75
178,Tiksi,51,RU,1567638195,82,71.64,128.87,45.36,13.56
